5662899,1315849,819800
5452038,3757391,820053
5483488,2786249,818245
5599074,1317254,818516
5450061,2224343,818385
5637667,1325234,821053
5467438,2375130,817988
5619007,1313783,817931
5568109,1314596,817519
5605829,2275040,822011
5449259,1328179,817639
5450834,1847826,820170
5442208,1844172,817689
5430537,1321333,821181
5434446,1316100,818840
5434659,4791258,817525
5450578,3093527,817120
5498640,5554938,819012
5474246,3853369,816982
5521711,1843304,817712
5451574,2412343,818152
5448240,1314465,820803
5865714,1739816,817179
5512789,1314941,816869
5479481,6252983,880578
5464014,1317162,818301
5512948,2263153,818421
5472639,2258710,819307
5465140,4248273,817203
5497729,2898004,820939
5448727,1325353,820331
5555502,3748721,817674
5439982,3203367,818638
5488940,2561737,819231
5440815,3458921,818321
5453070,2262888,818319
5445299,1318435,831018
5433405,1737655,818641
5493824,1735227,821516
5448724,1732585,818745
5447919,5762779,819704
5441830,5010846,820764
5455478,3510101,817463
5439596,2385893,821432
5468722,3423622,817205
5414756,2153802,816872
5430548,1838164,817093
5441021,3728014,817783
5441160,1314625,817626
5420291,7619058,818610
5490464,1850876,831514
5484678,1315829,817169
5453573,1744705,822261
5477367,2802922,821411
5464109,1354472,828261
5457133,2370997,820857
5458469,4257766,817182
5435210,3099467,816777
5438656,6179592,825888
5431445,1838086,817723
5451641,1322352,820991
5440885,1313818,818679
5453601,1852216,820970
5450169,2264644,816002
5452901,1314491,818824
5456730,3739435,819276
5446147,1314316,816559
5444677,4359096,817625
5446183,1827152,831522
5412069,1368286,867428
5457338,4605764,821824
5491980,4262537,817988
5474280,3328434,820320
5439084,3730014,818651
5455877,2272481,821461
5435532,4284811,820218
5459416,6343291,817110
5415136,1723523,816678
5457180,4272399,818691
5436587,3206116,821887
5454669,1314908,818415
5445031,2791029,817894
5484182,1319601,818314
5455244,1841724,819752
5446399,4670049,818553
5420219,3937781,818343
6375189,4044556,818792
5509415,2370567,819932
5447982,5386827,814883
5527708,3224804,822068
5458405,1321549,819562
5471164,1840972,815495
5439948,1840841,817109
5450221,4111871,819307
5426556,7858091,820020
5430979,7401649,818533
5440642,1733214,830690
5434980,2579311,818417
