12509,6972,1031
12078,1993,1037
12099,2031,1036
12239,8599,1033
12172,5608,1036
12363,6101,1035
12372,2674,1034
12165,3763,1108
12975,8814,1035
12316,4464,1039
12119,13460,1053
12202,3325,1070
12242,2621,1060
12208,11484,1035
12154,4233,1035
12159,9698,1053
12135,3442,1034
12197,6225,1033
12223,3519,1244
12275,8471,1035
12176,3540,1202
12128,3330,1115
12102,6753,1056
12250,3851,1035
12075,5630,1035
12403,3764,1062
12081,5354,1037
12248,7290,1071
12063,10902,1040
13292,6240,1085
12642,2108,1045
13434,3043,1052
12238,2797,1044
12349,3544,1035
12248,2926,1035
12195,9463,1036
12347,7667,1040
12144,2890,1032
12170,1939,1034
12172,2682,1039
12311,4617,1037
12118,9485,1102
12134,9803,1037
12239,7190,1075
12179,5153,1034
12305,4436,1036
12077,4294,1034
12109,6573,1037
12212,8613,1037
12175,7407,1040
12099,5323,1126
12216,2919,1035
12120,2665,1037
12158,9208,1058
12144,4244,1035
12183,9850,1037
12185,2831,1040
12123,4681,1034
12243,7571,1052
12163,5792,1061
12320,2826,1075
12157,7023,1039
12252,2666,1037
12161,1950,1115
12240,1934,1068
12141,7577,1038
12238,1936,1084
12532,8790,1037
12468,2815,1149
12428,1937,1061
12326,11636,1036
12199,16078,1040
12188,12376,1039
12140,6299,1063
12127,2824,1064
12330,4289,1033
12176,8547,1039
12165,11532,1035
12243,3602,1035
12078,2771,1036
12155,2842,1038
12318,1932,1036
12245,1995,1035
12328,7831,1053
12150,3732,1034
12149,2079,1048
12141,6509,1065
12142,4225,1036
12282,6047,1035
12297,5107,1037
12205,7626,1052
12148,3783,1037
12239,7592,1033
12230,2108,1371
16128,3564,1384
16277,2695,1383
15079,3525,1036
12164,1937,1070
12406,16000,1038
12208,2911,1033
12283,4513,1041
12244,2904,1038
12158,2690,1037
12297,6939,1034
12083,6580,1036
12133,1985,1037
12304,6071,1037
12182,5309,1051
12137,5124,1035
12307,2897,1036
12220,4270,1039
12356,3538,1033
12278,6311,1034
12149,5896,1039
12084,4633,1034
12125,2059,1036
12138,5793,1036
12303,2918,1037
12119,1983,1035
12138,15085,1037
12147,9028,1038
12207,2854,1038
12121,1939,1075
12233,2885,1036
12180,1939,1094
12261,1945,1072
12340,2684,1074
12273,18857,1039
12226,7123,1035
12124,3363,1033
12216,5554,1035
12212,7690,1033
